"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-f5610dd13d9546289fc506b7d501a298","AccessRelationship","","","id-b7f1dfd63e76483096e266a1b4c8219d","id-7fc8caaad9824490877e03c62acb629a",""
"id-eeda7efc03684bda877482e15c05f1b6","AccessRelationship","","","id-9c90ca41ed7d41259a19460acab48884","id-fc71d58fa6d0495eae586b738ebec9b6",""
"id-97ccf126a8ff453fbd4a35580e856905","AccessRelationship","","","id-6c5698313b664715a6a3ad1589300167","id-d5d0943fb1114a96ab829c541b341b0b",""
"id-160dae5a35b94c5db5c0694a504203b9","AccessRelationship","","","id-feb6c86802ed43d79a47a2ba99911fb5","id-7fc8caaad9824490877e03c62acb629a",""
"id-cdc8c003964348a9936302d9a06dbaf0","AccessRelationship","","","id-feb6c86802ed43d79a47a2ba99911fb5","id-d5d0943fb1114a96ab829c541b341b0b",""
"id-ffff75ea79cf4830ae2d1b58db452526","AccessRelationship","","","id-7822a244f6f449e7b8c522af80b038cb","id-dfe519b0b77849bd976049a959ca4e7f",""
"id-97d6e0cf1547454c98b3b9be1668d45d","AccessRelationship","","","id-ad194b723fca46068ee04ef934d684dd","id-9465b2c8e3484e6b97f9eff0cd16abe4",""
"id-b150b55506ca441994e0cb2db95306d4","AccessRelationship","","","id-68df8817a5914ada8bed440582d561ca","id-fdc89820d2da497493d2896399dc7917",""
"id-b33a5228da8c432ba114d8a61ac86550","AccessRelationship","","","id-850959d445594b88b4f867b80ea49e93","id-50ec1af37b604fcf94ab23f8c788e0e2",""
"id-9513d7e387ca4ea0b70520c38eda2ccb","AccessRelationship","","","id-2c64beb235064c279009c0255fc68dd9","id-35ce214d58db428dbdfb95304d612235",""
"id-a363c005d39e41f19a50237185d1cf16","AccessRelationship","access","","id-596ed533afff42fab640aef165644c41","id-7e8ec9f4f0364a69b1d72ade21f8fa9b",""
"id-89294dbb3d104c6cbe29e07f47dc30b2","AccessRelationship","access","","id-339aa8ff2f244006ade61bb39c735a32","id-895928cd06a94773b728c30dd3248b21",""
"id-2dff65179f20495d82c4a9638df03187","AggregationRelationship","","","id-1340cc1afacc4a4f98d1545092812a20","id-4f9d39bd2b60486ea8a1b867b91b077e",""
"id-ee26133da6d442ad8f5504231fd6a4c6","AggregationRelationship","aggregation","","id-6a75725fb2064bf9bfdf8e7c6cb174d9","id-c27174820b7f41eea62dde8ec146f447",""
"id-006fe4c50a554e0ebedef9de292b4aaa","AggregationRelationship","aggregation","","id-6a75725fb2064bf9bfdf8e7c6cb174d9","id-1af8e7d3789a4a6b89bb8ea071c7fd86",""
"id-bd6c4523b6a14b5e9fa34dce933fd991","AggregationRelationship","aggregation","","id-2e067d7414a143a6b570cc0da5840f4d","id-bae847eabe7942a5af809ec0e284dcc1",""
"id-8b66031b58ee4fdb8c0ced53574ff029","AssignmentRelationship","","","id-bc1f0ef3ab29446da53b697a84d98f34","id-488fa65f1a2e4a76aee9d9ccc44c5514",""
"id-ea7390841daf47d4935aec88f8c58d9b","AssignmentRelationship","","","id-bc1f0ef3ab29446da53b697a84d98f34","id-de9b121097314d8eb7f5c7d653ac7748",""
"id-b7a2b0647f9844ca9bb84d7b4e588289","AssignmentRelationship","","","id-de9b121097314d8eb7f5c7d653ac7748","id-b33e14a0679b429f8340d7a54ce9062b",""
"id-7eb78826ab7049a082f59acaa85f413b","AssignmentRelationship","","","id-488fa65f1a2e4a76aee9d9ccc44c5514","id-cdb035b5546c4e209a81fb545a732188",""
"id-ff79e3eede2446bf9b578222cd599132","AssignmentRelationship","","","id-fd8edc0c1ece4e72a4b7ab199fcd430e","id-4e7525b2cb404fe0bd063ec25586ef94",""
"id-a85cc59e6ca14cb6aca2c92efdc795ce","AssignmentRelationship","","","id-524aaac272ad4f8fb62eab922e250892","id-1cb329cae8f8485d8f191aaa0a123ed1",""
"id-1698a62346954333880c3a90bc2ecbc3","AssignmentRelationship","assignment","","id-4769318058254ac28dd2c480ad63fe4c","id-339aa8ff2f244006ade61bb39c735a32",""
"id-b3cb1439db2e4914bb5c41385a7f6949","AssignmentRelationship","assignment","","id-63ea29e7eba542df8395f96bc17cff26","id-76c259bd73124d2b9a0382fe6346cb96",""
"id-cf74b8235ee945f1b6323f75cbc658eb","AssignmentRelationship","assignment","","id-8d98570fd4e04975873aad91828d98d9","id-ad194b723fca46068ee04ef934d684dd",""
"id-83c63ac66ea34dc089dc066ccd6fd01c","AssignmentRelationship","assignment","","id-6a75725fb2064bf9bfdf8e7c6cb174d9","id-596ed533afff42fab640aef165644c41",""
"id-242fbb47e0a34975864b07d2432a03db","AssignmentRelationship","assignment","","id-71db9d1589f3440da7c72847acbba844","id-bae847eabe7942a5af809ec0e284dcc1",""
"id-a87e9ce59a8c415f986fe35f0f4050a5","AssignmentRelationship","assignment","","id-6a75725fb2064bf9bfdf8e7c6cb174d9","id-7e8ec9f4f0364a69b1d72ade21f8fa9b",""
"id-3a732bc9f97d461c9043e2ea03a95383","AssignmentRelationship","assignment","","id-8d98570fd4e04975873aad91828d98d9","id-a76c0c700fb543fdaedabb238f70c5cb",""
"id-b54a28154d634ef499c7eea93ef177d3","AssignmentRelationship","assignment","","id-aedcf6d87a4b4fd5bc221828c5d19796","id-0e6ec22361b44aab940838aeff700fb7",""
"id-a00933c7ebd444c7bf783b588a1b378c","AssignmentRelationship","assignment","","id-c27174820b7f41eea62dde8ec146f447","id-1af8e7d3789a4a6b89bb8ea071c7fd86",""
"id-ad4f0931053848aca3b9930df56e8978","AssignmentRelationship","assignment","","id-202ffc8a659b4748af0dd51ea4630dc6","id-2ee47eed71c247e18df103794429b90f",""
"id-38befa3aaf7347e0b15d3be5ef5a4b3f","AssociationRelationship","","","id-0a65a312e5444c838cc74f094721f930","id-77ae2739905b4552b5086e79cd47e17c",""
"id-20bd500663f140f498a4060aee21291f","AssociationRelationship","","","id-4cfffdf3c6d64c0eb12bffef7d7a9d53","id-0a65a312e5444c838cc74f094721f930",""
"id-548bd97fe6154727bb25123e0ccd8bab","AssociationRelationship","","","id-d2a75eb9ba584d68bd4655b9934bb87b","id-4dc5b5920ccd4b019731eda390ac5619",""
"id-85ea09a6d51745f69584b7903cb2bb80","AssociationRelationship","","","id-0a65a312e5444c838cc74f094721f930","id-e213f41a1cde4a0aaca4907298019084",""
"id-19bd9b2dbc0d456dab820968c24f3f00","AssociationRelationship","","","id-878e4505db78414c9bb372a181887e24","id-bae847eabe7942a5af809ec0e284dcc1",""
"id-d31c34dd5dc84a3f89945dae338db6ee","AssociationRelationship","","","id-4cfffdf3c6d64c0eb12bffef7d7a9d53","id-77ae2739905b4552b5086e79cd47e17c",""
"id-2fef6dac2e4640aea1a912de99f51680","AssociationRelationship","","","id-01edabd8766e4564ac8f099b903bd2bf","id-4cfffdf3c6d64c0eb12bffef7d7a9d53",""
